lsoa21cd,dependent_children,tenure,value_21,value_11,change,perc_change
E01001965,Household with dependent children,Private rented or lives rent free,51,28,23,82.14
E01001965,No dependent children in household,Private rented or lives rent free,61,92,-31,-33.7
E01001965,Household with dependent children,Rented: Social rented,21,26,-5,-19.23
E01001965,No dependent children in household,Rented: Social rented,54,42,12,28.57
E01001966,Household with dependent children,Owned: Owns outright,31,59,-28,-47.46
E01001966,No dependent children in household,Owned: Owns outright,193,146,47,32.19
E01001966,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,111,107,4,3.74
E01001966,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,65,89,-24,-26.97
E01001966,Household with dependent children,Private rented or lives rent free,46,32,14,43.75
E01001966,No dependent children in household,Private rented or lives rent free,56,76,-20,-26.32
E01001966,Household with dependent children,Rented: Social rented,6,7,-1,-14.29
E01001966,No dependent children in household,Rented: Social rented,11,19,-8,-42.11
E01001967,Household with dependent children,Owned: Owns outright,27,70,-43,-61.43
E01001967,No dependent children in household,Owned: Owns outright,208,194,14,7.22
E01001967,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,128,155,-27,-17.42
E01001967,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,93,113,-20,-17.7
E01001967,Household with dependent children,Private rented or lives rent free,27,33,-6,-18.18
E01001967,No dependent children in household,Private rented or lives rent free,74,162,-88,-54.32
E01001967,Household with dependent children,Rented: Social rented,3,5,-2,-40
E01001967,No dependent children in household,Rented: Social rented,47,39,8,20.51
E01001968,Household with dependent children,Owned: Owns outright,22,17,5,29.41
E01001968,No dependent children in household,Owned: Owns outright,163,109,54,49.54
E01001968,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,133,89,44,49.44
E01001968,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,88,119,-31,-26.05
E01001968,Household with dependent children,Private rented or lives rent free,72,58,14,24.14
E01001968,No dependent children in household,Private rented or lives rent free,162,190,-28,-14.74
E01001968,Household with dependent children,Rented: Social rented,6,7,-1,-14.29
E01001968,No dependent children in household,Rented: Social rented,51,51,0,0
E01001969,Household with dependent children,Owned: Owns outright,10,6,4,66.67
E01001969,No dependent children in household,Owned: Owns outright,118,95,23,24.21
E01001969,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,52,45,7,15.56
E01001969,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,88,137,-49,-35.77
E01001969,Household with dependent children,Private rented or lives rent free,123,111,12,10.81
E01001969,No dependent children in household,Private rented or lives rent free,262,239,23,9.62
E01001969,Household with dependent children,Rented: Social rented,37,58,-21,-36.21
E01001969,No dependent children in household,Rented: Social rented,175,166,9,5.42
E01001970,Household with dependent children,Owned: Owns outright,3,5,-2,-40
E01001970,No dependent children in household,Owned: Owns outright,71,58,13,22.41
E01001970,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,40,48,-8,-16.67
E01001970,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,79,111,-32,-28.83
E01001970,Household with dependent children,Private rented or lives rent free,72,64,8,12.5
E01001970,No dependent children in household,Private rented or lives rent free,177,149,28,18.79
E01001970,Household with dependent children,Rented: Social rented,95,159,-64,-40.25
E01001970,No dependent children in household,Rented: Social rented,218,134,84,62.69
E01001971,Household with dependent children,Owned: Owns outright,12,6,6,100
E01001971,No dependent children in household,Owned: Owns outright,58,41,17,41.46
E01001971,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,33,42,-9,-21.43
E01001971,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,57,84,-27,-32.14
E01001971,Household with dependent children,Private rented or lives rent free,62,56,6,10.71
E01001971,No dependent children in household,Private rented or lives rent free,143,102,41,40.2
E01001971,Household with dependent children,Rented: Social rented,138,182,-44,-24.18
E01001971,No dependent children in household,Rented: Social rented,313,271,42,15.5
E01001972,Household with dependent children,Owned: Owns outright,13,8,5,62.5
E01001972,No dependent children in household,Owned: Owns outright,127,107,20,18.69
E01001972,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,49,65,-16,-24.62
E01001972,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,80,109,-29,-26.61
E01001972,Household with dependent children,Private rented or lives rent free,57,32,25,78.12
E01001972,No dependent children in household,Private rented or lives rent free,151,154,-3,-1.95
E01001972,Household with dependent children,Rented: Social rented,87,99,-12,-12.12
E01001972,No dependent children in household,Rented: Social rented,164,175,-11,-6.29
E01001973,Household with dependent children,Owned: Owns outright,26,26,0,0
E01001973,No dependent children in household,Owned: Owns outright,205,178,27,15.17
E01001973,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,114,102,12,11.76
E01001973,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,125,144,-19,-13.19
E01001973,Household with dependent children,Private rented or lives rent free,116,73,43,58.9
E01001973,No dependent children in household,Private rented or lives rent free,185,190,-5,-2.63
E01001973,Household with dependent children,Rented: Social rented,109,96,13,13.54
E01001973,No dependent children in household,Rented: Social rented,130,134,-4,-2.99
E01001974,Household with dependent children,Owned: Owns outright,17,16,1,6.25
E01001974,No dependent children in household,Owned: Owns outright,148,170,-22,-12.94
E01001974,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,80,74,6,8.11
E01001974,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,130,173,-43,-24.86
E01001974,Household with dependent children,Private rented or lives rent free,173,107,66,61.68
E01001974,No dependent children in household,Private rented or lives rent free,358,338,20,5.92
E01001974,Household with dependent children,Rented: Social rented,18,41,-23,-56.1
E01001974,No dependent children in household,Rented: Social rented,47,40,7,17.5
E01001975,Household with dependent children,Owned: Owns outright,8,11,-3,-27.27
E01001975,No dependent children in household,Owned: Owns outright,119,109,10,9.17
E01001975,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,54,51,3,5.88
E01001975,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,115,156,-41,-26.28
E01001975,Household with dependent children,Private rented or lives rent free,142,114,28,24.56
E01001975,No dependent children in household,Private rented or lives rent free,251,244,7,2.87
E01001975,Household with dependent children,Rented: Social rented,32,25,7,28
E01001975,No dependent children in household,Rented: Social rented,100,66,34,51.52
E01001976,Household with dependent children,Owned: Owns outright,18,16,2,12.5
E01001976,No dependent children in household,Owned: Owns outright,90,92,-2,-2.17
E01001976,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,56,54,2,3.7
E01001976,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,93,115,-22,-19.13
E01001976,Household with dependent children,Private rented or lives rent free,132,138,-6,-4.35
E01001976,No dependent children in household,Private rented or lives rent free,149,133,16,12.03
E01001976,Household with dependent children,Rented: Social rented,54,94,-40,-42.55
E01001976,No dependent children in household,Rented: Social rented,97,156,-59,-37.82
E01001977,Household with dependent children,Owned: Owns outright,11,10,1,10
E01001977,No dependent children in household,Owned: Owns outright,73,58,15,25.86
E01001977,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,34,39,-5,-12.82
E01001977,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,61,87,-26,-29.89
E01001977,Household with dependent children,Private rented or lives rent free,105,104,1,0.96
E01001977,No dependent children in household,Private rented or lives rent free,151,103,48,46.6
E01001977,Household with dependent children,Rented: Social rented,56,82,-26,-31.71
E01001977,No dependent children in household,Rented: Social rented,111,122,-11,-9.02
E01001978,Household with dependent children,Owned: Owns outright,5,7,-2,-28.57
E01001978,No dependent children in household,Owned: Owns outright,78,55,23,41.82
E01001978,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,38,39,-1,-2.56
E01001978,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,80,88,-8,-9.09
E01001978,Household with dependent children,Private rented or lives rent free,108,93,15,16.13
E01001978,No dependent children in household,Private rented or lives rent free,187,108,79,73.15
E01001978,Household with dependent children,Rented: Social rented,82,105,-23,-21.9
E01001978,No dependent children in household,Rented: Social rented,207,161,46,28.57
E01001979,Household with dependent children,Owned: Owns outright,7,11,-4,-36.36
E01001979,No dependent children in household,Owned: Owns outright,68,60,8,13.33
E01001979,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,45,40,5,12.5
E01001979,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,95,113,-18,-15.93
E01001979,Household with dependent children,Private rented or lives rent free,126,108,18,16.67
E01001979,No dependent children in household,Private rented or lives rent free,277,201,76,37.81
E01001979,Household with dependent children,Rented: Social rented,122,161,-39,-24.22
E01001979,No dependent children in household,Rented: Social rented,186,152,34,22.37
E01001980,Household with dependent children,Owned: Owns outright,13,20,-7,-35
E01001980,No dependent children in household,Owned: Owns outright,113,107,6,5.61
E01001980,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,58,72,-14,-19.44
E01001980,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,93,107,-14,-13.08
E01001980,Household with dependent children,Private rented or lives rent free,92,112,-20,-17.86
E01001980,No dependent children in household,Private rented or lives rent free,216,126,90,71.43
E01001980,Household with dependent children,Rented: Social rented,32,69,-37,-53.62
E01001980,No dependent children in household,Rented: Social rented,82,60,22,36.67
E01001981,Household with dependent children,Owned: Owns outright,13,12,1,8.33
E01001981,No dependent children in household,Owned: Owns outright,97,89,8,8.99
E01001981,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,31,42,-11,-26.19
E01001981,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,73,91,-18,-19.78
E01001981,Household with dependent children,Private rented or lives rent free,111,97,14,14.43
E01001981,No dependent children in household,Private rented or lives rent free,210,139,71,51.08
E01001981,Household with dependent children,Rented: Social rented,44,63,-19,-30.16
E01001981,No dependent children in household,Rented: Social rented,61,68,-7,-10.29
E01001982,Household with dependent children,Owned: Owns outright,21,9,12,133.33
E01001982,No dependent children in household,Owned: Owns outright,104,118,-14,-11.86
E01001982,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,45,54,-9,-16.67
E01001982,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,104,112,-8,-7.14
E01001982,Household with dependent children,Private rented or lives rent free,124,96,28,29.17
E01001982,No dependent children in household,Private rented or lives rent free,197,141,56,39.72
E01001982,Household with dependent children,Rented: Social rented,39,63,-24,-38.1
E01001982,No dependent children in household,Rented: Social rented,94,83,11,13.25
E01001983,Household with dependent children,Owned: Owns outright,15,19,-4,-21.05
E01001983,No dependent children in household,Owned: Owns outright,129,105,24,22.86
E01001983,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,83,83,0,0
E01001983,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,84,130,-46,-35.38
E01001983,Household with dependent children,Private rented or lives rent free,78,82,-4,-4.88
E01001983,No dependent children in household,Private rented or lives rent free,159,89,70,78.65
E01001983,Household with dependent children,Rented: Social rented,28,50,-22,-44
E01001983,No dependent children in household,Rented: Social rented,71,54,17,31.48
E01001984,Household with dependent children,Owned: Owns outright,13,21,-8,-38.1
E01001984,No dependent children in household,Owned: Owns outright,145,155,-10,-6.45
E01001984,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,56,49,7,14.29
E01001984,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,185,179,6,3.35
E01001984,Household with dependent children,Private rented or lives rent free,77,56,21,37.5
E01001984,No dependent children in household,Private rented or lives rent free,288,291,-3,-1.03
E01001984,Household with dependent children,Rented: Social rented,23,25,-2,-8
E01001984,No dependent children in household,Rented: Social rented,168,91,77,84.62
E01001985,Household with dependent children,Owned: Owns outright,37,30,7,23.33
E01001985,No dependent children in household,Owned: Owns outright,164,159,5,3.14
E01001985,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,107,105,2,1.9
E01001985,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,142,172,-30,-17.44
E01001985,Household with dependent children,Private rented or lives rent free,55,40,15,37.5
E01001985,No dependent children in household,Private rented or lives rent free,163,210,-47,-22.38
E01001985,Household with dependent children,Rented: Social rented,16,12,4,33.33
E01001985,No dependent children in household,Rented: Social rented,43,41,2,4.88
E01001986,Household with dependent children,Owned: Owns outright,27,42,-15,-35.71
E01001986,No dependent children in household,Owned: Owns outright,142,112,30,26.79
E01001986,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,98,105,-7,-6.67
E01001986,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,117,143,-26,-18.18
E01001986,Household with dependent children,Private rented or lives rent free,45,29,16,55.17
E01001986,No dependent children in household,Private rented or lives rent free,154,204,-50,-24.51
E01001986,Household with dependent children,Rented: Social rented,13,20,-7,-35
E01001986,No dependent children in household,Rented: Social rented,104,89,15,16.85
E01001987,Household with dependent children,Owned: Owns outright,41,49,-8,-16.33
E01001987,No dependent children in household,Owned: Owns outright,208,223,-15,-6.73
E01001987,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,101,115,-14,-12.17
E01001987,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,111,124,-13,-10.48
E01001987,Household with dependent children,Private rented or lives rent free,55,41,14,34.15
E01001987,No dependent children in household,Private rented or lives rent free,191,229,-38,-16.59
E01001987,Household with dependent children,Rented: Social rented,7,6,1,16.67
E01001987,No dependent children in household,Rented: Social rented,48,18,30,166.67
E01001988,Household with dependent children,Owned: Owns outright,26,21,5,23.81
E01001988,No dependent children in household,Owned: Owns outright,139,129,10,7.75
E01001988,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,88,88,0,0
E01001988,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,116,153,-37,-24.18
E01001988,Household with dependent children,Private rented or lives rent free,67,49,18,36.73
E01001988,No dependent children in household,Private rented or lives rent free,244,324,-80,-24.69
E01001988,Household with dependent children,Rented: Social rented,20,20,0,0
E01001988,No dependent children in household,Rented: Social rented,89,97,-8,-8.25
E01001989,Household with dependent children,Owned: Owns outright,33,37,-4,-10.81
E01001989,No dependent children in household,Owned: Owns outright,191,154,37,24.03
E01001989,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,115,112,3,2.68
E01001989,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,118,147,-29,-19.73
E01001989,Household with dependent children,Private rented or lives rent free,38,36,2,5.56
E01001989,No dependent children in household,Private rented or lives rent free,161,175,-14,-8
E01001989,Household with dependent children,Rented: Social rented,25,28,-3,-10.71
E01001989,No dependent children in household,Rented: Social rented,76,77,-1,-1.3
E01001990,Household with dependent children,Owned: Owns outright,17,19,-2,-10.53
E01001990,No dependent children in household,Owned: Owns outright,122,98,24,24.49
E01001990,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,71,68,3,4.41
E01001990,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,143,193,-50,-25.91
E01001990,Household with dependent children,Private rented or lives rent free,90,53,37,69.81
E01001990,No dependent children in household,Private rented or lives rent free,439,483,-44,-9.11
E01001990,Household with dependent children,Rented: Social rented,17,28,-11,-39.29
E01001990,No dependent children in household,Rented: Social rented,42,40,2,5
E01001991,Household with dependent children,Owned: Owns outright,17,21,-4,-19.05
E01001991,No dependent children in household,Owned: Owns outright,103,83,20,24.1
E01001991,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,76,85,-9,-10.59
E01001991,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,78,113,-35,-30.97
E01001991,Household with dependent children,Private rented or lives rent free,111,89,22,24.72
E01001991,No dependent children in household,Private rented or lives rent free,275,325,-50,-15.38
E01001991,Household with dependent children,Rented: Social rented,33,20,13,65
E01001991,No dependent children in household,Rented: Social rented,48,30,18,60
E01001992,Household with dependent children,Owned: Owns outright,48,50,-2,-4
E01001992,No dependent children in household,Owned: Owns outright,215,216,-1,-0.46
E01001992,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,111,112,-1,-0.89
E01001992,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,76,73,3,4.11
E01001992,Household with dependent children,Private rented or lives rent free,68,35,33,94.29
E01001992,No dependent children in household,Private rented or lives rent free,122,157,-35,-22.29
E01001992,Household with dependent children,Rented: Social rented,9,5,4,80
E01001992,No dependent children in household,Rented: Social rented,25,24,1,4.17
E01001993,Household with dependent children,Owned: Owns outright,44,71,-27,-38.03
E01001993,No dependent children in household,Owned: Owns outright,217,181,36,19.89
E01001993,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,148,145,3,2.07
E01001993,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,65,67,-2,-2.99
E01001993,Household with dependent children,Private rented or lives rent free,49,38,11,28.95
E01001993,No dependent children in household,Private rented or lives rent free,46,60,-14,-23.33
E01001993,Household with dependent children,Rented: Social rented,1,3,-2,-66.67
E01001993,No dependent children in household,Rented: Social rented,32,44,-12,-27.27
E01001994,Household with dependent children,Owned: Owns outright,24,42,-18,-42.86
E01001994,No dependent children in household,Owned: Owns outright,196,167,29,17.37
E01001994,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,82,65,17,26.15
E01001994,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,101,148,-47,-31.76
E01001994,Household with dependent children,Private rented or lives rent free,78,47,31,65.96
E01001994,No dependent children in household,Private rented or lives rent free,197,226,-29,-12.83
E01001994,Household with dependent children,Rented: Social rented,13,21,-8,-38.1
E01001994,No dependent children in household,Rented: Social rented,48,44,4,9.09
E01001995,Household with dependent children,Owned: Owns outright,31,32,-1,-3.12
E01001995,No dependent children in household,Owned: Owns outright,118,94,24,25.53
E01001995,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,185,182,3,1.65
E01001995,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,139,169,-30,-17.75
E01001995,Household with dependent children,Private rented or lives rent free,93,57,36,63.16
E01001995,No dependent children in household,Private rented or lives rent free,70,62,8,12.9
E01001995,Household with dependent children,Rented: Social rented,102,120,-18,-15
E01001995,No dependent children in household,Rented: Social rented,204,182,22,12.09
E01001996,Household with dependent children,Owned: Owns outright,16,30,-14,-46.67
E01001996,No dependent children in household,Owned: Owns outright,104,100,4,4
E01001996,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,110,111,-1,-0.9
E01001996,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,97,149,-52,-34.9
E01001996,Household with dependent children,Private rented or lives rent free,75,60,15,25
E01001996,No dependent children in household,Private rented or lives rent free,158,192,-34,-17.71
E01001996,Household with dependent children,Rented: Social rented,5,9,-4,-44.44
E01001996,No dependent children in household,Rented: Social rented,46,47,-1,-2.13
E01001997,Household with dependent children,Owned: Owns outright,32,18,14,77.78
E01001997,No dependent children in household,Owned: Owns outright,112,92,20,21.74
E01001997,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,88,81,7,8.64
E01001997,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,91,107,-16,-14.95
E01001997,Household with dependent children,Private rented or lives rent free,100,50,50,100
E01001997,No dependent children in household,Private rented or lives rent free,251,354,-103,-29.1
E01001997,Household with dependent children,Rented: Social rented,5,8,-3,-37.5
E01001997,No dependent children in household,Rented: Social rented,23,20,3,15
E01001998,Household with dependent children,Owned: Owns outright,18,9,9,100
E01001998,No dependent children in household,Owned: Owns outright,135,130,5,3.85
E01001998,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,67,66,1,1.52
E01001998,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,132,154,-22,-14.29
E01001998,Household with dependent children,Private rented or lives rent free,90,78,12,15.38
E01001998,No dependent children in household,Private rented or lives rent free,326,359,-33,-9.19
E01001998,Household with dependent children,Rented: Social rented,17,21,-4,-19.05
E01001998,No dependent children in household,Rented: Social rented,42,48,-6,-12.5
E01001999,Household with dependent children,Owned: Owns outright,22,17,5,29.41
E01001999,No dependent children in household,Owned: Owns outright,149,124,25,20.16
E01001999,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,90,63,27,42.86
E01001999,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,97,141,-44,-31.21
E01001999,Household with dependent children,Private rented or lives rent free,140,70,70,100
E01001999,No dependent children in household,Private rented or lives rent free,391,329,62,18.84
E01001999,Household with dependent children,Rented: Social rented,29,33,-4,-12.12
E01001999,No dependent children in household,Rented: Social rented,44,42,2,4.76
E01002000,Household with dependent children,Owned: Owns outright,17,23,-6,-26.09
E01002000,No dependent children in household,Owned: Owns outright,135,106,29,27.36
E01002000,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,83,66,17,25.76
E01002000,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,101,146,-45,-30.82
E01002000,Household with dependent children,Private rented or lives rent free,65,71,-6,-8.45
E01002000,No dependent children in household,Private rented or lives rent free,268,205,63,30.73
E01002000,Household with dependent children,Rented: Social rented,22,26,-4,-15.38
E01002000,No dependent children in household,Rented: Social rented,53,47,6,12.77
E01002001,Household with dependent children,Owned: Owns outright,14,22,-8,-36.36
E01002001,No dependent children in household,Owned: Owns outright,129,99,30,30.3
E01002001,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,75,41,34,82.93
E01002001,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,148,140,8,5.71
E01002001,Household with dependent children,Private rented or lives rent free,43,36,7,19.44
E01002001,No dependent children in household,Private rented or lives rent free,219,272,-53,-19.49
E01002001,Household with dependent children,Rented: Social rented,10,34,-24,-70.59
E01002001,No dependent children in household,Rented: Social rented,48,33,15,45.45
E01002002,Household with dependent children,Owned: Owns outright,10,19,-9,-47.37
E01002002,No dependent children in household,Owned: Owns outright,103,65,38,58.46
E01002002,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,51,43,8,18.6
E01002002,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,103,131,-28,-21.37
E01002002,Household with dependent children,Private rented or lives rent free,53,56,-3,-5.36
E01002002,No dependent children in household,Private rented or lives rent free,396,353,43,12.18
E01002002,Household with dependent children,Rented: Social rented,21,61,-40,-65.57
E01002002,No dependent children in household,Rented: Social rented,63,53,10,18.87
E01002003,Household with dependent children,Owned: Owns outright,4,6,-2,-33.33
E01002003,No dependent children in household,Owned: Owns outright,63,51,12,23.53
E01002003,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,27,21,6,28.57
E01002003,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,157,78,79,101.28
E01002003,Household with dependent children,Private rented or lives rent free,153,123,30,24.39
E01002003,No dependent children in household,Private rented or lives rent free,458,398,60,15.08
E01002003,Household with dependent children,Rented: Social rented,104,113,-9,-7.96
E01002003,No dependent children in household,Rented: Social rented,177,139,38,27.34
E01002004,Household with dependent children,Owned: Owns outright,23,13,10,76.92
E01002004,No dependent children in household,Owned: Owns outright,163,154,9,5.84
E01002004,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,85,73,12,16.44
E01002004,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,84,130,-46,-35.38
E01002004,Household with dependent children,Private rented or lives rent free,55,48,7,14.58
E01002004,No dependent children in household,Private rented or lives rent free,224,182,42,23.08
E01002004,Household with dependent children,Rented: Social rented,20,51,-31,-60.78
E01002004,No dependent children in household,Rented: Social rented,69,59,10,16.95
E01002005,Household with dependent children,Owned: Owns outright,12,17,-5,-29.41
E01002005,No dependent children in household,Owned: Owns outright,97,67,30,44.78
E01002005,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,51,72,-21,-29.17
E01002005,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,127,147,-20,-13.61
E01002005,Household with dependent children,Private rented or lives rent free,37,47,-10,-21.28
E01002005,No dependent children in household,Private rented or lives rent free,355,408,-53,-12.99
E01002005,Household with dependent children,Rented: Social rented,11,18,-7,-38.89
E01002005,No dependent children in household,Rented: Social rented,41,42,-1,-2.38
E01002006,Household with dependent children,Owned: Owns outright,20,22,-2,-9.09
E01002006,No dependent children in household,Owned: Owns outright,121,115,6,5.22
E01002006,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,59,59,0,0
E01002006,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,127,188,-61,-32.45
E01002006,Household with dependent children,Private rented or lives rent free,65,46,19,41.3
E01002006,No dependent children in household,Private rented or lives rent free,318,319,-1,-0.31
E01002006,Household with dependent children,Rented: Social rented,17,23,-6,-26.09
E01002006,No dependent children in household,Rented: Social rented,42,36,6,16.67
E01002007,Household with dependent children,Owned: Owns outright,25,44,-19,-43.18
E01002007,No dependent children in household,Owned: Owns outright,189,214,-25,-11.68
E01002007,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,65,53,12,22.64
E01002007,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,94,110,-16,-14.55
E01002007,Household with dependent children,Private rented or lives rent free,41,40,1,2.5
E01002007,No dependent children in household,Private rented or lives rent free,226,301,-75,-24.92
E01002007,Household with dependent children,Rented: Social rented,7,11,-4,-36.36
E01002007,No dependent children in household,Rented: Social rented,37,26,11,42.31
E01002008,Household with dependent children,Owned: Owns outright,43,50,-7,-14
E01002008,No dependent children in household,Owned: Owns outright,196,191,5,2.62
E01002008,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,85,69,16,23.19
E01002008,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,54,69,-15,-21.74
E01002008,Household with dependent children,Private rented or lives rent free,41,52,-11,-21.15
E01002008,No dependent children in household,Private rented or lives rent free,70,124,-54,-43.55
E01002008,Household with dependent children,Rented: Social rented,10,17,-7,-41.18
E01002008,No dependent children in household,Rented: Social rented,29,71,-42,-59.15
E01002009,Household with dependent children,Owned: Owns outright,41,44,-3,-6.82
E01002009,No dependent children in household,Owned: Owns outright,167,168,-1,-0.6
E01002009,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,71,71,0,0
E01002009,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,99,117,-18,-15.38
E01002009,Household with dependent children,Private rented or lives rent free,24,44,-20,-45.45
E01002009,No dependent children in household,Private rented or lives rent free,207,236,-29,-12.29
E01002009,Household with dependent children,Rented: Social rented,8,9,-1,-11.11
E01002009,No dependent children in household,Rented: Social rented,29,19,10,52.63
E01002010,Household with dependent children,Owned: Owns outright,39,33,6,18.18
E01002010,No dependent children in household,Owned: Owns outright,141,148,-7,-4.73
E01002010,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,79,73,6,8.22
E01002010,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,84,110,-26,-23.64
E01002010,Household with dependent children,Private rented or lives rent free,49,39,10,25.64
E01002010,No dependent children in household,Private rented or lives rent free,108,123,-15,-12.2
E01002010,Household with dependent children,Rented: Social rented,40,61,-21,-34.43
E01002010,No dependent children in household,Rented: Social rented,161,131,30,22.9
E01002011,Household with dependent children,Owned: Owns outright,20,24,-4,-16.67
E01002011,No dependent children in household,Owned: Owns outright,153,131,22,16.79
E01002011,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,76,75,1,1.33
E01002011,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,114,134,-20,-14.93
E01002011,Household with dependent children,Private rented or lives rent free,58,44,14,31.82
E01002011,No dependent children in household,Private rented or lives rent free,212,236,-24,-10.17
E01002011,Household with dependent children,Rented: Social rented,32,27,5,18.52
E01002011,No dependent children in household,Rented: Social rented,109,90,19,21.11
E01002013,Household with dependent children,Owned: Owns outright,18,25,-7,-28
E01002013,No dependent children in household,Owned: Owns outright,123,134,-11,-8.21
E01002013,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,110,131,-21,-16.03
E01002013,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,115,165,-50,-30.3
