lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,ethnic_group_20,observation
E09000020,Kensington and Chelsea,One-person household: Aged 66 years and over,White: Irish,372
E09000020,Kensington and Chelsea,One-person household: Aged 66 years and over,White: Gypsy or Irish Traveller,2
E09000020,Kensington and Chelsea,One-person household: Aged 66 years and over,White: Roma,22
E09000020,Kensington and Chelsea,One-person household: Aged 66 years and over,White: Other White,1236
E09000020,Kensington and Chelsea,One-person household: Aged 66 years and over,Other ethnic group: Arab,177
E09000020,Kensington and Chelsea,One-person household: Aged 66 years and over,Other ethnic group: Any other ethnic group,326
E09000020,Kensington and Chelsea,One-person household: Other,"Asian, Asian British or Asian Welsh: Bangladeshi",53
E09000020,Kensington and Chelsea,One-person household: Other,"Asian, Asian British or Asian Welsh: Chinese",798
E09000020,Kensington and Chelsea,One-person household: Other,"Asian, Asian British or Asian Welsh: Indian",552
E09000020,Kensington and Chelsea,One-person household: Other,"Asian, Asian British or Asian Welsh: Pakistani",159
E09000020,Kensington and Chelsea,One-person household: Other,"Asian, Asian British or Asian Welsh: Other Asian",1012
E09000020,Kensington and Chelsea,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: African",973
E09000020,Kensington and Chelsea,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",587
E09000020,Kensington and Chelsea,One-person household: Other,"Black, Black British, Black Welsh, Caribbean or African: Other Black",187
E09000020,Kensington and Chelsea,One-person household: Other,Mixed or Multiple ethnic groups: White and Asian,311
E09000020,Kensington and Chelsea,One-person household: Other,Mixed or Multiple ethnic groups: White and Black African,187
E09000020,Kensington and Chelsea,One-person household: Other,Mixed or Multiple ethnic groups: White and Black Caribbean,365
E09000020,Kensington and Chelsea,One-person household: Other,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,472
E09000020,Kensington and Chelsea,One-person household: Other,"White: English, Welsh, Scottish, Northern Irish or British",7036
E09000020,Kensington and Chelsea,One-person household: Other,White: Irish,599
E09000020,Kensington and Chelsea,One-person household: Other,White: Gypsy or Irish Traveller,10
E09000020,Kensington and Chelsea,One-person household: Other,White: Roma,196
E09000020,Kensington and Chelsea,One-person household: Other,White: Other White,5927
E09000020,Kensington and Chelsea,One-person household: Other,Other ethnic group: Arab,917
E09000020,Kensington and Chelsea,One-person household: Other,Other ethnic group: Any other ethnic group,1139
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Bangladeshi",2
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Chinese",20
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Indian",37
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Pakistani",14
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"Asian, Asian British or Asian Welsh: Other Asian",78
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: African",28
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",20
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Asian,15
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Black African,1
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,"White: English, Welsh, Scottish, Northern Irish or British",1511
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,White: Irish,74
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,White: Gypsy or Irish Traveller,0
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,White: Roma,5
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,White: Other White,448
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,Other ethnic group: Arab,41
E09000020,Kensington and Chelsea,Single family household: All aged 66 years and over,Other ethnic group: Any other ethnic group,77
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Bangladeshi",21
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Chinese",124
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Indian",174
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Pakistani",46
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Other Asian",255
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: African",79
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",36
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",13
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Asian,56
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Black African,52
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Black Caribbean,51
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,84
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,"White: English, Welsh, Scottish, Northern Irish or British",2058
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,White: Irish,108
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,White: Gypsy or Irish Traveller,1
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,White: Roma,32
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,White: Other White,1805
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,Other ethnic group: Arab,174
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: No children,Other ethnic group: Any other ethnic group,249
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",71
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Chinese",159
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Indian",244
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Pakistani",80
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Other Asian",296
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",332
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",37
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",16
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Asian,69
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Black African,36
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,26
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,119
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,"White: English, Welsh, Scottish, Northern Irish or British",1724
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,White: Irish,126
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,White: Gypsy or Irish Traveller,1
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,White: Roma,54
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,White: Other White,3011
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,Other ethnic group: Arab,431
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: Dependent children,Other ethnic group: Any other ethnic group,445
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",26
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",24
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",43
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",30
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",150
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",116
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",68
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,3
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,3
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,6
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,13
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",917
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,White: Irish,72
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,White: Gypsy or Irish Traveller,0
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,White: Roma,7
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,White: Other White,576
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,Other ethnic group: Arab,166
E09000020,Kensington and Chelsea,Single family household: Married or civil partnership couple: All children non-dependent,Other ethnic group: Any other ethnic group,182
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Bangladeshi",10
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Chinese",104
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Indian",66
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Pakistani",15
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Other Asian",75
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: African",41
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",34
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",10
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Asian,106
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Black African,17
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Black Caribbean,35
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,88
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,"White: English, Welsh, Scottish, Northern Irish or British",1603
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,White: Irish,143
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,White: Gypsy or Irish Traveller,2
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,White: Roma,70
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,White: Other White,1660
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,Other ethnic group: Arab,46
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: No children,Other ethnic group: Any other ethnic group,126
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",5
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Indian",13
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",4
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",21
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",69
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",31
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Asian,9
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Black African,5
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,8
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",304
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,White: Irish,17
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,White: Gypsy or Irish Traveller,0
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,White: Roma,6
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,White: Other White,281
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,Other ethnic group: Arab,36
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: With dependent children,Other ethnic group: Any other ethnic group,50
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",3
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",1
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",6
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",11
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",26
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,4
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,2
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",87
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,White: Irish,7
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,White: Gypsy or Irish Traveller,0
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,White: Roma,1
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,White: Other White,22
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,Other ethnic group: Arab,1
E09000020,Kensington and Chelsea,Single family household: Cohabiting couple family: All children non-dependent,Other ethnic group: Any other ethnic group,9
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",18
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",51
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Indian",46
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",41
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",145
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",432
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",190
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",53
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Asian,29
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Black African,42
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,91
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,114
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",859
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,White: Irish,56
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,White: Gypsy or Irish Traveller,9
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,White: Roma,13
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,White: Other White,732
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,Other ethnic group: Arab,219
E09000020,Kensington and Chelsea,Single family household: Lone parent family: With dependent children,Other ethnic group: Any other ethnic group,266
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",23
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",39
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",44
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",30
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",149
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",256
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",254
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",39
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,16
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,27
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,38
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,54
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",1059
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,White: Irish,121
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,White: Gypsy or Irish Traveller,3
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,White: Roma,7
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,White: Other White,598
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,Other ethnic group: Arab,247
E09000020,Kensington and Chelsea,Single family household: Lone parent family: All children non-dependent,Other ethnic group: Any other ethnic group,259
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Bangladeshi",1
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Chinese",84
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Indian",48
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Pakistani",11
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Other Asian",66
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: African",68
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",25
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Asian,22
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Black African,48
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Black Caribbean,13
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,27
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,"White: English, Welsh, Scottish, Northern Irish or British",361
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,White: Irish,16
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,White: Gypsy or Irish Traveller,1
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,White: Roma,31
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,White: Other White,388
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,Other ethnic group: Arab,91
E09000020,Kensington and Chelsea,Other household types: Other related household: Other family composition,Other ethnic group: Any other ethnic group,87
E09000020,Kensington and Chelsea,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",103
E09000020,Kensington and Chelsea,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",25
E09000020,Kensington and Chelsea,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Indian",56
E09000020,Kensington and Chelsea,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",42
E09000020,Kensington and Chelsea,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",180
E09000020,Kensington and Chelsea,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",130
E09000020,Kensington and Chelsea,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",85
E09000020,Kensington and Chelsea,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",12
E09000020,Kensington and Chelsea,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Asian,24
E09000020,Kensington and Chelsea,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Black African,12
E09000020,Kensington and Chelsea,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,12
E09000020,Kensington and Chelsea,Other household types: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,26
E09000020,Kensington and Chelsea,Other household types: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",476
E09000020,Kensington and Chelsea,Other household types: With dependent children,White: Irish,22
E09000020,Kensington and Chelsea,Other household types: With dependent children,White: Gypsy or Irish Traveller,4
E09000020,Kensington and Chelsea,Other household types: With dependent children,White: Roma,8
E09000020,Kensington and Chelsea,Other household types: With dependent children,White: Other White,644
E09000020,Kensington and Chelsea,Other household types: With dependent children,Other ethnic group: Arab,99
E09000020,Kensington and Chelsea,Other household types: With dependent children,Other ethnic group: Any other ethnic group,103
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Bangladeshi",12
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Chinese",330
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Indian",127
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Pakistani",28
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Other Asian",247
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: African",123
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: Caribbean",43
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: Other Black",22
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Asian,137
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Black African,17
E09000020,Kensington and Chelsea,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Black Caribbean,28
