Lower tier local authorities Code,Lower tier local authorities,Household composition (37 categories) Code,Household composition (37 categories),Observation
E09000021,Kingston upon Thames,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,6
E09000021,Kingston upon Thames,16,Single family household: Same-sex civil partnership couple family: No children,73
E09000021,Kingston upon Thames,17,Single family household: Same-sex civil partnership couple family: With one dependent child,7
E09000021,Kingston upon Thames,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,0
E09000021,Kingston upon Thames,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000021,Kingston upon Thames,20,Single family household: Opposite-sex cohabiting couple family: No children,4129
E09000021,Kingston upon Thames,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1088
E09000021,Kingston upon Thames,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1035
E09000021,Kingston upon Thames,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,327
E09000021,Kingston upon Thames,24,Single family household: Same-sex cohabiting couple family: No children,286
E09000021,Kingston upon Thames,25,Single family household: Same-sex cohabiting couple family: With one dependent child,18
E09000021,Kingston upon Thames,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,17
E09000021,Kingston upon Thames,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,8
E09000021,Kingston upon Thames,28,Single family household: Lone parent family: With one dependent child,1991
E09000021,Kingston upon Thames,29,Single family household: Lone parent family: With two or more dependent children,1756
E09000021,Kingston upon Thames,30,Single family household: Lone parent family: All children non-dependent,2589
E09000021,Kingston upon Thames,31,Other household types: Other related household: Other family composition,715
E09000021,Kingston upon Thames,32,Other household types: With one dependent child,1041
E09000021,Kingston upon Thames,33,Other household types: With two or more dependent children,1053
E09000021,Kingston upon Thames,34,Other household types: All in full-time education,448
E09000021,Kingston upon Thames,35,Other household types: All aged 66 years and over,65
E09000021,Kingston upon Thames,36,Other household types: Other family composition,3374
E09000022,Lambeth,-8,Does not apply,0
E09000022,Lambeth,1,One-person household: Aged 66 years and over,9531
E09000022,Lambeth,2,One-person household: Other,33623
E09000022,Lambeth,3,Single family household: All aged 66 years and over,2524
E09000022,Lambeth,4,Single family household: Opposite-sex married couple family: No children,7089
E09000022,Lambeth,5,Single family household: Opposite-sex married couple family: With one dependent child,5147
E09000022,Lambeth,6,Single family household: Opposite-sex married couple family: With two or more dependent children,7406
E09000022,Lambeth,7,Single family household: Opposite-sex married couple family: All children non-dependent,3751
E09000022,Lambeth,8,Single family household: Same-sex married couple family: No children,608
E09000022,Lambeth,9,Single family household: Same-sex married couple family: With one dependent child,27
E09000022,Lambeth,10,Single family household: Same-sex married couple family: With two or more dependent children,19
E09000022,Lambeth,11,Single family household: Same-sex married couple family: All children non-dependent,4
E09000022,Lambeth,12,Single family household: Opposite-sex civil partnership couple family: No children,67
E09000022,Lambeth,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,15
E09000022,Lambeth,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,33
E09000022,Lambeth,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,9
E09000022,Lambeth,16,Single family household: Same-sex civil partnership couple family: No children,394
E09000022,Lambeth,17,Single family household: Same-sex civil partnership couple family: With one dependent child,20
E09000022,Lambeth,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,8
E09000022,Lambeth,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,7
E09000022,Lambeth,20,Single family household: Opposite-sex cohabiting couple family: No children,11997
E09000022,Lambeth,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1815
E09000022,Lambeth,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1521
E09000022,Lambeth,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,636
E09000022,Lambeth,24,Single family household: Same-sex cohabiting couple family: No children,1670
E09000022,Lambeth,25,Single family household: Same-sex cohabiting couple family: With one dependent child,39
E09000022,Lambeth,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,36
E09000022,Lambeth,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,22
E09000022,Lambeth,28,Single family household: Lone parent family: With one dependent child,5930
E09000022,Lambeth,29,Single family household: Lone parent family: With two or more dependent children,5390
E09000022,Lambeth,30,Single family household: Lone parent family: All children non-dependent,7908
E09000022,Lambeth,31,Other household types: Other related household: Other family composition,3364
E09000022,Lambeth,32,Other household types: With one dependent child,2249
E09000022,Lambeth,33,Other household types: With two or more dependent children,2184
E09000022,Lambeth,34,Other household types: All in full-time education,598
E09000022,Lambeth,35,Other household types: All aged 66 years and over,84
E09000022,Lambeth,36,Other household types: Other family composition,18958
E09000023,Lewisham,-8,Does not apply,0
E09000023,Lewisham,1,One-person household: Aged 66 years and over,9365
E09000023,Lewisham,2,One-person household: Other,27782
E09000023,Lewisham,3,Single family household: All aged 66 years and over,3280
E09000023,Lewisham,4,Single family household: Opposite-sex married couple family: No children,7924
E09000023,Lewisham,5,Single family household: Opposite-sex married couple family: With one dependent child,6375
E09000023,Lewisham,6,Single family household: Opposite-sex married couple family: With two or more dependent children,9142
E09000023,Lewisham,7,Single family household: Opposite-sex married couple family: All children non-dependent,4727
E09000023,Lewisham,8,Single family household: Same-sex married couple family: No children,347
E09000023,Lewisham,9,Single family household: Same-sex married couple family: With one dependent child,43
E09000023,Lewisham,10,Single family household: Same-sex married couple family: With two or more dependent children,21
E09000023,Lewisham,11,Single family household: Same-sex married couple family: All children non-dependent,5
E09000023,Lewisham,12,Single family household: Opposite-sex civil partnership couple family: No children,43
E09000023,Lewisham,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,23
E09000023,Lewisham,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,24
E09000023,Lewisham,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,9
E09000023,Lewisham,16,Single family household: Same-sex civil partnership couple family: No children,192
E09000023,Lewisham,17,Single family household: Same-sex civil partnership couple family: With one dependent child,7
E09000023,Lewisham,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,11
E09000023,Lewisham,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,3
E09000023,Lewisham,20,Single family household: Opposite-sex cohabiting couple family: No children,9604
E09000023,Lewisham,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,2237
E09000023,Lewisham,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,2299
E09000023,Lewisham,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,796
E09000023,Lewisham,24,Single family household: Same-sex cohabiting couple family: No children,1161
E09000023,Lewisham,25,Single family household: Same-sex cohabiting couple family: With one dependent child,60
E09000023,Lewisham,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,31
E09000023,Lewisham,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,37
E09000023,Lewisham,28,Single family household: Lone parent family: With one dependent child,6340
E09000023,Lewisham,29,Single family household: Lone parent family: With two or more dependent children,5854
E09000023,Lewisham,30,Single family household: Lone parent family: All children non-dependent,7725
E09000023,Lewisham,31,Other household types: Other related household: Other family composition,2037
E09000023,Lewisham,32,Other household types: With one dependent child,2378
E09000023,Lewisham,33,Other household types: With two or more dependent children,2533
E09000023,Lewisham,34,Other household types: All in full-time education,401
E09000023,Lewisham,35,Other household types: All aged 66 years and over,81
E09000023,Lewisham,36,Other household types: Other family composition,9494
E09000024,Merton,-8,Does not apply,0
E09000024,Merton,1,One-person household: Aged 66 years and over,7507
E09000024,Merton,2,One-person household: Other,12957
E09000024,Merton,3,Single family household: All aged 66 years and over,4087
E09000024,Merton,4,Single family household: Opposite-sex married couple family: No children,6690
E09000024,Merton,5,Single family household: Opposite-sex married couple family: With one dependent child,6123
E09000024,Merton,6,Single family household: Opposite-sex married couple family: With two or more dependent children,9497
E09000024,Merton,7,Single family household: Opposite-sex married couple family: All children non-dependent,4809
E09000024,Merton,8,Single family household: Same-sex married couple family: No children,168
E09000024,Merton,9,Single family household: Same-sex married couple family: With one dependent child,20
E09000024,Merton,10,Single family household: Same-sex married couple family: With two or more dependent children,14
E09000024,Merton,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000024,Merton,12,Single family household: Opposite-sex civil partnership couple family: No children,36
E09000024,Merton,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,10
E09000024,Merton,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,12
E09000024,Merton,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,9
E09000024,Merton,16,Single family household: Same-sex civil partnership couple family: No children,107
E09000024,Merton,17,Single family household: Same-sex civil partnership couple family: With one dependent child,3
E09000024,Merton,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,4
E09000024,Merton,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,2
E09000024,Merton,20,Single family household: Opposite-sex cohabiting couple family: No children,5473
E09000024,Merton,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1328
E09000024,Merton,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1222
E09000024,Merton,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,439
E09000024,Merton,24,Single family household: Same-sex cohabiting couple family: No children,422
E09000024,Merton,25,Single family household: Same-sex cohabiting couple family: With one dependent child,22
E09000024,Merton,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,14
E09000024,Merton,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,7
E09000024,Merton,28,Single family household: Lone parent family: With one dependent child,2662
E09000024,Merton,29,Single family household: Lone parent family: With two or more dependent children,2402
E09000024,Merton,30,Single family household: Lone parent family: All children non-dependent,4082
E09000024,Merton,31,Other household types: Other related household: Other family composition,1184
E09000024,Merton,32,Other household types: With one dependent child,1932
E09000024,Merton,33,Other household types: With two or more dependent children,2162
E09000024,Merton,34,Other household types: All in full-time education,124
E09000024,Merton,35,Other household types: All aged 66 years and over,70
E09000024,Merton,36,Other household types: Other family composition,6128
E09000025,Newham,-8,Does not apply,0
E09000025,Newham,1,One-person household: Aged 66 years and over,6377
E09000025,Newham,2,One-person household: Other,20660
E09000025,Newham,3,Single family household: All aged 66 years and over,2022
E09000025,Newham,4,Single family household: Opposite-sex married couple family: No children,6748
E09000025,Newham,5,Single family household: Opposite-sex married couple family: With one dependent child,7447
E09000025,Newham,6,Single family household: Opposite-sex married couple family: With two or more dependent children,12869
E09000025,Newham,7,Single family household: Opposite-sex married couple family: All children non-dependent,5741
E09000025,Newham,8,Single family household: Same-sex married couple family: No children,190
E09000025,Newham,9,Single family household: Same-sex married couple family: With one dependent child,8
E09000025,Newham,10,Single family household: Same-sex married couple family: With two or more dependent children,7
E09000025,Newham,11,Single family household: Same-sex married couple family: All children non-dependent,1
E09000025,Newham,12,Single family household: Opposite-sex civil partnership couple family: No children,36
E09000025,Newham,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,28
E09000025,Newham,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,28
E09000025,Newham,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,10
E09000025,Newham,16,Single family household: Same-sex civil partnership couple family: No children,119
E09000025,Newham,17,Single family household: Same-sex civil partnership couple family: With one dependent child,6
E09000025,Newham,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,0
E09000025,Newham,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000025,Newham,20,Single family household: Opposite-sex cohabiting couple family: No children,5855
E09000025,Newham,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1499
E09000025,Newham,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1542
E09000025,Newham,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,616
E09000025,Newham,24,Single family household: Same-sex cohabiting couple family: No children,807
E09000025,Newham,25,Single family household: Same-sex cohabiting couple family: With one dependent child,29
E09000025,Newham,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,25
E09000025,Newham,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,11
E09000025,Newham,28,Single family household: Lone parent family: With one dependent child,4918
E09000025,Newham,29,Single family household: Lone parent family: With two or more dependent children,4949
E09000025,Newham,30,Single family household: Lone parent family: All children non-dependent,7105
E09000025,Newham,31,Other household types: Other related household: Other family composition,2988
E09000025,Newham,32,Other household types: With one dependent child,4554
E09000025,Newham,33,Other household types: With two or more dependent children,6452
E09000025,Newham,34,Other household types: All in full-time education,470
E09000025,Newham,35,Other household types: All aged 66 years and over,57
E09000025,Newham,36,Other household types: Other family composition,11334
E09000026,Redbridge,-8,Does not apply,0
E09000026,Redbridge,1,One-person household: Aged 66 years and over,9669
E09000026,Redbridge,2,One-person household: Other,14217
E09000026,Redbridge,3,Single family household: All aged 66 years and over,5306
E09000026,Redbridge,4,Single family household: Opposite-sex married couple family: No children,7077
E09000026,Redbridge,5,Single family household: Opposite-sex married couple family: With one dependent child,8701
E09000026,Redbridge,6,Single family household: Opposite-sex married couple family: With two or more dependent children,14937
E09000026,Redbridge,7,Single family household: Opposite-sex married couple family: All children non-dependent,8551
E09000026,Redbridge,8,Single family household: Same-sex married couple family: No children,108
E09000026,Redbridge,9,Single family household: Same-sex married couple family: With one dependent child,13
E09000026,Redbridge,10,Single family household: Same-sex married couple family: With two or more dependent children,5
E09000026,Redbridge,11,Single family household: Same-sex married couple family: All children non-dependent,1
E09000026,Redbridge,12,Single family household: Opposite-sex civil partnership couple family: No children,35
E09000026,Redbridge,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,16
E09000026,Redbridge,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,21
E09000026,Redbridge,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,5
E09000026,Redbridge,16,Single family household: Same-sex civil partnership couple family: No children,60
E09000026,Redbridge,17,Single family household: Same-sex civil partnership couple family: With one dependent child,4
E09000026,Redbridge,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,2
E09000026,Redbridge,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000026,Redbridge,20,Single family household: Opposite-sex cohabiting couple family: No children,3105
E09000026,Redbridge,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1274
E09000026,Redbridge,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1230
E09000026,Redbridge,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,525
E09000026,Redbridge,24,Single family household: Same-sex cohabiting couple family: No children,236
E09000026,Redbridge,25,Single family household: Same-sex cohabiting couple family: With one dependent child,28
E09000026,Redbridge,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,25
E09000026,Redbridge,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,22
E09000026,Redbridge,28,Single family household: Lone parent family: With one dependent child,3564
E09000026,Redbridge,29,Single family household: Lone parent family: With two or more dependent children,3591
E09000026,Redbridge,30,Single family household: Lone parent family: All children non-dependent,5332
E09000026,Redbridge,31,Other household types: Other related household: Other family composition,1309
E09000026,Redbridge,32,Other household types: With one dependent child,3528
E09000026,Redbridge,33,Other household types: With two or more dependent children,5137
E09000026,Redbridge,34,Other household types: All in full-time education,64
E09000026,Redbridge,35,Other household types: All aged 66 years and over,76
E09000026,Redbridge,36,Other household types: Other family composition,5937
E09000027,Richmond upon Thames,-8,Does not apply,0
E09000027,Richmond upon Thames,1,One-person household: Aged 66 years and over,10039
E09000027,Richmond upon Thames,2,One-person household: Other,13832
E09000027,Richmond upon Thames,3,Single family household: All aged 66 years and over,5744
E09000027,Richmond upon Thames,4,Single family household: Opposite-sex married couple family: No children,7660
E09000027,Richmond upon Thames,5,Single family household: Opposite-sex married couple family: With one dependent child,6473
E09000027,Richmond upon Thames,6,Single family household: Opposite-sex married couple family: With two or more dependent children,10975
E09000027,Richmond upon Thames,7,Single family household: Opposite-sex married couple family: All children non-dependent,4179
E09000027,Richmond upon Thames,8,Single family household: Same-sex married couple family: No children,185
E09000027,Richmond upon Thames,9,Single family household: Same-sex married couple family: With one dependent child,23
E09000027,Richmond upon Thames,10,Single family household: Same-sex married couple family: With two or more dependent children,19
E09000027,Richmond upon Thames,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000027,Richmond upon Thames,12,Single family household: Opposite-sex civil partnership couple family: No children,35
E09000027,Richmond upon Thames,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,16
E09000027,Richmond upon Thames,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,15
E09000027,Richmond upon Thames,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,11
E09000027,Richmond upon Thames,16,Single family household: Same-sex civil partnership couple family: No children,124
E09000027,Richmond upon Thames,17,Single family household: Same-sex civil partnership couple family: With one dependent child,4
E09000027,Richmond upon Thames,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,7
E09000027,Richmond upon Thames,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,1
E09000027,Richmond upon Thames,20,Single family household: Opposite-sex cohabiting couple family: No children,5207
E09000027,Richmond upon Thames,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1354
E09000027,Richmond upon Thames,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1178
E09000027,Richmond upon Thames,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,363
E09000027,Richmond upon Thames,24,Single family household: Same-sex cohabiting couple family: No children,390
E09000027,Richmond upon Thames,25,Single family household: Same-sex cohabiting couple family: With one dependent child,22
E09000027,Richmond upon Thames,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,18
E09000027,Richmond upon Thames,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,7
E09000027,Richmond upon Thames,28,Single family household: Lone parent family: With one dependent child,2335
E09000027,Richmond upon Thames,29,Single family household: Lone parent family: With two or more dependent children,1889
E09000027,Richmond upon Thames,30,Single family household: Lone parent family: All children non-dependent,2854
E09000027,Richmond upon Thames,31,Other household types: Other related household: Other family composition,575
E09000027,Richmond upon Thames,32,Other household types: With one dependent child,897
E09000027,Richmond upon Thames,33,Other household types: With two or more dependent children,987
E09000027,Richmond upon Thames,34,Other household types: All in full-time education,161
E09000027,Richmond upon Thames,35,Other household types: All aged 66 years and over,91
E09000027,Richmond upon Thames,36,Other household types: Other family composition,3032
E09000028,Southwark,-8,Does not apply,0
E09000028,Southwark,1,One-person household: Aged 66 years and over,9507
E09000028,Southwark,2,One-person household: Other,33841
E09000028,Southwark,3,Single family household: All aged 66 years and over,2526
E09000028,Southwark,4,Single family household: Opposite-sex married couple family: No children,7472
E09000028,Southwark,5,Single family household: Opposite-sex married couple family: With one dependent child,5196
E09000028,Southwark,6,Single family household: Opposite-sex married couple family: With two or more dependent children,7553
E09000028,Southwark,7,Single family household: Opposite-sex married couple family: All children non-dependent,3574
E09000028,Southwark,8,Single family household: Same-sex married couple family: No children,535
E09000028,Southwark,9,Single family household: Same-sex married couple family: With one dependent child,43
E09000028,Southwark,10,Single family household: Same-sex married couple family: With two or more dependent children,10
E09000028,Southwark,11,Single family household: Same-sex married couple family: All children non-dependent,6
E09000028,Southwark,12,Single family household: Opposite-sex civil partnership couple family: No children,76
E09000028,Southwark,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,27
E09000028,Southwark,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,30
E09000028,Southwark,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,12
E09000028,Southwark,16,Single family household: Same-sex civil partnership couple family: No children,323
E09000028,Southwark,17,Single family household: Same-sex civil partnership couple family: With one dependent child,5
E09000028,Southwark,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,9
E09000028,Southwark,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,3
E09000028,Southwark,20,Single family household: Opposite-sex cohabiting couple family: No children,11328
E09000028,Southwark,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1866
E09000028,Southwark,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1771
E09000028,Southwark,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,635
E09000028,Southwark,24,Single family household: Same-sex cohabiting couple family: No children,1594
E09000028,Southwark,25,Single family household: Same-sex cohabiting couple family: With one dependent child,50
E09000028,Southwark,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,33
E09000028,Southwark,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,24
E09000028,Southwark,28,Single family household: Lone parent family: With one dependent child,6116
E09000028,Southwark,29,Single family household: Lone parent family: With two or more dependent children,5994
E09000028,Southwark,30,Single family household: Lone parent family: All children non-dependent,7737
E09000028,Southwark,31,Other household types: Other related household: Other family composition,3139
E09000028,Southwark,32,Other household types: With one dependent child,2020
E09000028,Southwark,33,Other household types: With two or more dependent children,2212
E09000028,Southwark,34,Other household types: All in full-time education,1230
E09000028,Southwark,35,Other household types: All aged 66 years and over,59
E09000028,Southwark,36,Other household types: Other family composition,14258
E09000029,Sutton,-8,Does not apply,0
E09000029,Sutton,1,One-person household: Aged 66 years and over,9497
E09000029,Sutton,2,One-person household: Other,12703
E09000029,Sutton,3,Single family household: All aged 66 years and over,5613
E09000029,Sutton,4,Single family household: Opposite-sex married couple family: No children,7173
E09000029,Sutton,5,Single family household: Opposite-sex married couple family: With one dependent child,6515
E09000029,Sutton,6,Single family household: Opposite-sex married couple family: With two or more dependent children,10269
E09000029,Sutton,7,Single family household: Opposite-sex married couple family: All children non-dependent,5572
E09000029,Sutton,8,Single family household: Same-sex married couple family: No children,98
E09000029,Sutton,9,Single family household: Same-sex married couple family: With one dependent child,26
E09000029,Sutton,10,Single family household: Same-sex married couple family: With two or more dependent children,9
E09000029,Sutton,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000029,Sutton,12,Single family household: Opposite-sex civil partnership couple family: No children,22
E09000029,Sutton,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,16
E09000029,Sutton,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,22
E09000029,Sutton,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,1
E09000029,Sutton,16,Single family household: Same-sex civil partnership couple family: No children,53
E09000029,Sutton,17,Single family household: Same-sex civil partnership couple family: With one dependent child,3
E09000029,Sutton,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,4
E09000029,Sutton,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,1
E09000029,Sutton,20,Single family household: Opposite-sex cohabiting couple family: No children,4096
E09000029,Sutton,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1586
E09000029,Sutton,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1674
E09000029,Sutton,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,598
E09000029,Sutton,24,Single family household: Same-sex cohabiting couple family: No children,293
E09000029,Sutton,25,Single family household: Same-sex cohabiting couple family: With one dependent child,22
E09000029,Sutton,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,19
E09000029,Sutton,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,21
E09000029,Sutton,28,Single family household: Lone parent family: With one dependent child,3029
E09000029,Sutton,29,Single family household: Lone parent family: With two or more dependent children,2871
E09000029,Sutton,30,Single family household: Lone parent family: All children non-dependent,3896
E09000029,Sutton,31,Other household types: Other related household: Other family composition,670
E09000029,Sutton,32,Other household types: With one dependent child,1442
E09000029,Sutton,33,Other household types: With two or more dependent children,1518
E09000029,Sutton,34,Other household types: All in full-time education,10
E09000029,Sutton,35,Other household types: All aged 66 years and over,80
E09000029,Sutton,36,Other household types: Other family composition,2931
E09000030,Tower Hamlets,-8,Does not apply,0
E09000030,Tower Hamlets,1,One-person household: Aged 66 years and over,5786
E09000030,Tower Hamlets,2,One-person household: Other,32744
E09000030,Tower Hamlets,3,Single family household: All aged 66 years and over,1340
E09000030,Tower Hamlets,4,Single family household: Opposite-sex married couple family: No children,7839
E09000030,Tower Hamlets,5,Single family household: Opposite-sex married couple family: With one dependent child,6218
E09000030,Tower Hamlets,6,Single family household: Opposite-sex married couple family: With two or more dependent children,10965
E09000030,Tower Hamlets,7,Single family household: Opposite-sex married couple family: All children non-dependent,2944
E09000030,Tower Hamlets,8,Single family household: Same-sex married couple family: No children,507
E09000030,Tower Hamlets,9,Single family household: Same-sex married couple family: With one dependent child,17
E09000030,Tower Hamlets,10,Single family household: Same-sex married couple family: With two or more dependent children,8
E09000030,Tower Hamlets,11,Single family household: Same-sex married couple family: All children non-dependent,1
E09000030,Tower Hamlets,12,Single family household: Opposite-sex civil partnership couple family: No children,92
E09000030,Tower Hamlets,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,19
E09000030,Tower Hamlets,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,17
E09000030,Tower Hamlets,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,3
E09000030,Tower Hamlets,16,Single family household: Same-sex civil partnership couple family: No children,236
E09000030,Tower Hamlets,17,Single family household: Same-sex civil partnership couple family: With one dependent child,6
E09000030,Tower Hamlets,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,5
E09000030,Tower Hamlets,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,3
E09000030,Tower Hamlets,20,Single family household: Opposite-sex cohabiting couple family: No children,10932
E09000030,Tower Hamlets,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1213
E09000030,Tower Hamlets,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1254
E09000030,Tower Hamlets,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,338
E09000030,Tower Hamlets,24,Single family household: Same-sex cohabiting couple family: No children,1423
E09000030,Tower Hamlets,25,Single family household: Same-sex cohabiting couple family: With one dependent child,19
E09000030,Tower Hamlets,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,13
E09000030,Tower Hamlets,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,6
E09000030,Tower Hamlets,28,Single family household: Lone parent family: With one dependent child,3846
E09000030,Tower Hamlets,29,Single family household: Lone parent family: With two or more dependent children,4115
E09000030,Tower Hamlets,30,Single family household: Lone parent family: All children non-dependent,4892
E09000030,Tower Hamlets,31,Other household types: Other related household: Other family composition,3042
E09000030,Tower Hamlets,32,Other household types: With one dependent child,1816
E09000030,Tower Hamlets,33,Other household types: With two or more dependent children,3136
E09000030,Tower Hamlets,34,Other household types: All in full-time education,1273
E09000030,Tower Hamlets,35,Other household types: All aged 66 years and over,33
E09000030,Tower Hamlets,36,Other household types: Other family composition,14438
E09000031,Waltham Forest,-8,Does not apply,0
E09000031,Waltham Forest,1,One-person household: Aged 66 years and over,8254
E09000031,Waltham Forest,2,One-person household: Other,18442
E09000031,Waltham Forest,3,Single family household: All aged 66 years and over,3547
E09000031,Waltham Forest,4,Single family household: Opposite-sex married couple family: No children,6879
E09000031,Waltham Forest,5,Single family household: Opposite-sex married couple family: With one dependent child,6459
E09000031,Waltham Forest,6,Single family household: Opposite-sex married couple family: With two or more dependent children,9806
E09000031,Waltham Forest,7,Single family household: Opposite-sex married couple family: All children non-dependent,5381
E09000031,Waltham Forest,8,Single family household: Same-sex married couple family: No children,294
E09000031,Waltham Forest,9,Single family household: Same-sex married couple family: With one dependent child,44
E09000031,Waltham Forest,10,Single family household: Same-sex married couple family: With two or more dependent children,28
E09000031,Waltham Forest,11,Single family household: Same-sex married couple family: All children non-dependent,2
E09000031,Waltham Forest,12,Single family household: Opposite-sex civil partnership couple family: No children,49
E09000031,Waltham Forest,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,18
E09000031,Waltham Forest,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,22
E09000031,Waltham Forest,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,12
E09000031,Waltham Forest,16,Single family household: Same-sex civil partnership couple family: No children,148
